zzz.txt

zzz.txt

zzz.txt
colission detection RH: i(45 / 56) t(s | s) h1(59b8ddac10661f45aac6061f8d361e10) h2(66c9708327deae0830afed2f0edc258)
colission detection RH: i(43 / 119) t(88  | 88 ) h1(c582ca3316a11317ac375bd312ad8464) h2(e8125f2e44abdd723874063b83c414db)
colission detection AES: i(39 / 48) t(e | e) h1(dabc6574963a350578eec162ff3e3a8a) h2(dabc6574963a350578eec162ff3e3a8a)
colission detection RH: i(40 / 64) t(c | c) h1(5e03812a90cd0011c0030dc60b5847ce) h2(1c3cbcced01f08d914bb7233fc760575)
colission detection AES: i(40 / 64) t(c | c) h1(1c3cbcced01f08d914bb7233fc760575) h2(1c3cbcced01f08d914bb7233fc760575)
colission detection RH: i(48 / 58) t(e | e) h1(89db3fdeea2eeb5038218e4831235fd) h2(dabc6574963a350578eec162ff3e3a8a)
colission detection RH: i(46 / 51) t(r | r) h1(897241df8d95e042d639b2392f35d4a8) h2(bc7445284ea12594af382b1f8812a11f)
colission detection AES: i(45 / 56) t(s | s) h1(66c9708327deae0830afed2f0edc258) h2(66c9708327deae0830afed2f0edc258)
colission detection RH: i(50 / 53) t(  |  ) h1(96efa71ade33083b5841de2efcc95851) h2(248bee68ac190d2ceab5c8c67a5f5d3a)
colission detection AES: i(50 / 53) t(  |  ) h1(248bee68ac190d2ceab5c8c67a5f5d3a) h2(248bee68ac190d2ceab5c8c67a5f5d3a)
colission detection AES: i(46 / 51) t(r | r) h1(bc7445284ea12594af382b1f8812a11f) h2(bc7445284ea12594af382b1f8812a11f)
colission detection AES: i(43 / 119) t(88  | 88 ) h1(e8125f2e44abdd723874063b83c414db) h2(e8125f2e44abdd723874063b83c414db)
colission detection RH: i(56 / 57) t(s | s) h1(59b8ddac10661f45aac6061f8d361e10) h2(66c9708327deae0830afed2f0edc258)
colission detection RH: i(51 / 122) t(r | r) h1(897241df8d95e042d639b2392f35d4a8) h2(bc7445284ea12594af382b1f8812a11f)
colission detection RH: i(53 / 68) t(  |  ) h1(96efa71ade33083b5841de2efcc95851) h2(248bee68ac190d2ceab5c8c67a5f5d3a)
colission detection AES: i(48 / 58) t(e | e) h1(dabc6574963a350578eec162ff3e3a8a) h2(dabc6574963a350578eec162ff3e3a8a)
colission detection AES: i(56 / 57) t(s | s) h1(66c9708327deae0830afed2f0edc258) h2(66c9708327deae0830afed2f0edc258)
colission detection AES: i(51 / 122) t(r | r) h1(bc7445284ea12594af382b1f8812a11f) h2(bc7445284ea12594af382b1f8812a11f)
colission detection AES: i(53 / 68) t(  |  ) h1(248bee68ac190d2ceab5c8c67a5f5d3a) h2(248bee68ac190d2ceab5c8c67a5f5d3a)
colission detection RH: i(57 / 96) t(s | s) h1(59b8ddac10661f45aac6061f8d361e10) h2(66c9708327deae0830afed2f0edc258)
colission detection RH: i(58 / 61) t(e | e) h1(89db3fdeea2eeb5038218e4831235fd) h2(dabc6574963a350578eec162ff3e3a8a)
colission detection RH: i(59 / 69) t(" | ") h1(98b23c09e359fdaabf0ec582c95b970c) h2(ed0371134983a9887abaad936c50fe5a)
colission detection RH: i(61 / 71) t(e | e) h1(89db3fdeea2eeb5038218e4831235fd) h2(dabc6574963a350578eec162ff3e3a8a)
colission detection AES: i(57 / 96) t(s | s) h1(66c9708327deae0830afed2f0edc258) h2(66c9708327deae0830afed2f0edc258)
colission detection AES: i(58 / 61) t(e | e) h1(dabc6574963a350578eec162ff3e3a8a) h2(dabc6574963a350578eec162ff3e3a8a)
colission detection AES: i(59 / 69) t(" | ") h1(ed0371134983a9887abaad936c50fe5a) h2(ed0371134983a9887abaad936c50fe5a)
colission detection AES: i(61 / 71) t(e | e) h1(dabc6574963a350578eec162ff3e3a8a) h2(dabc6574963a350578eec162ff3e3a8a)
colission detection RH: i(65 / 85) t(M | M) h1(7ca5e8ed6c0314a6eeb7cf3efe704d06) h2(8aab184130e71b4da2cc9564ec0b9d1d)
